Ente,Coalizione,Partito,Voti
EUROPA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,155038
EUROPA,CON MONTI PER L'ITALIA,CON MONTI PER L'ITALIA,143418
EUROPA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',95292
EUROPA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,69338
EUROPA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',17434
EUROPA,NO COALIZIONE,RIVOLUZIONE CIVILE,16033
EUROPA,NO COALIZIONE,MOV.ASSOCIATIVO ITALIANI ALL'ESTERO,10671
EUROPA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,8477
EUROPA,NO COALIZIONE,PARTITO COMUNISTA,6977
RESTO DEL MONDO,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,132937
RESTO DEL MONDO,NO COALIZIONE,MOV.ASSOCIATIVO ITALIANI ALL'ESTERO,130197
RESTO DEL MONDO,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',50459
RESTO DEL MONDO,NO COALIZIONE,USEI,43918
RESTO DEL MONDO,CON MONTI PER L'ITALIA,CON MONTI PER L'ITALIA,37623
RESTO DEL MONDO,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,25835
RESTO DEL MONDO,NO COALIZIONE,ITALIANI PER LA LIBERTA',22348
RESTO DEL MONDO,NO COALIZIONE,UNIONE ITALIANI SUDAMERICA,11330
RESTO DEL MONDO,NO COALIZIONE,INSIEME PER GLI ITALIANI,3838
RESTO DEL MONDO,NO COALIZIONE,FARE PER FERMARE IL DECLINO,1718