ENTE,REGIONE,COALIZIONE,LISTA,VOTI_LISTA
MARCHE,MARCHE,NO COALIZIONE,CASAPOUND ITALIA,2127
MARCHE,MARCHE,NO COALIZIONE,IO AMO L'ITALIA,3411
LAZIO 1,LAZIO,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,656650
LAZIO 1,LAZIO,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',101017
LAZIO 1,LAZIO,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,7009
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',498904
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,62794
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,42638
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,3211
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,3006
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,1843
LAZIO 1,LAZIO,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,1534
LAZIO 1,LAZIO,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,689613
LAZIO 1,LAZIO,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,170925
LAZIO 1,LAZIO,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,31385
LAZIO 1,LAZIO,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',13125
LAZIO 1,LAZIO,NO COALIZIONE,RIVOLUZIONE CIVILE,65547
LAZIO 1,LAZIO,NO COALIZIONE,FARE PER FERMARE IL DECLINO,20363
LAZIO 1,LAZIO,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,7990
LAZIO 1,LAZIO,NO COALIZIONE,FORZA NUOVA,8288
LAZIO 1,LAZIO,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',8333
LAZIO 1,LAZIO,NO COALIZIONE,CASAPOUND ITALIA,12090
LAZIO 1,LAZIO,NO COALIZIONE,FIAMMA TRICOLORE,5734
LAZIO 1,LAZIO,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,4915
LAZIO 1,LAZIO,NO COALIZIONE,MOVIMENTO PROGETTO ITALIA - MID,2079
LAZIO 1,LAZIO,NO COALIZIONE,UNIONE POP.,1475
LAZIO 1,LAZIO,NO COALIZIONE,STAMINALI D'ITALIA,586
LAZIO 2,LAZIO,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,196186
LAZIO 2,LAZIO,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',26762
LAZIO 2,LAZIO,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,2514
LAZIO 2,LAZIO,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',257799
LAZIO 2,LAZIO,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,28750
LAZIO 2,LAZIO,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,19047
LAZIO 2,LAZIO,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,2869
LAZIO 2,LAZIO,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,2103
LAZIO 2,LAZIO,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,1452
LAZIO 2,LAZIO,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,240880
LAZIO 2,LAZIO,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,53660
LAZIO 2,LAZIO,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,18425
LAZIO 2,LAZIO,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',4435
LAZIO 2,LAZIO,NO COALIZIONE,RIVOLUZIONE CIVILE,19384
LAZIO 2,LAZIO,NO COALIZIONE,FARE PER FERMARE IL DECLINO,4456
LAZIO 2,LAZIO,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,3938
LAZIO 2,LAZIO,NO COALIZIONE,FORZA NUOVA,3105
LAZIO 2,LAZIO,NO COALIZIONE,CASAPOUND ITALIA,4318
LAZIO 2,LAZIO,NO COALIZIONE,FIAMMA TRICOLORE,3599
LAZIO 2,LAZIO,NO COALIZIONE,TUTTI INSIEME PER L'ITALIA,1485
LAZIO 2,LAZIO,NO COALIZIONE,DEMOCRAZIA ATEA,598
ABRUZZO,ABRUZZO,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,175857
ABRUZZO,ABRUZZO,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',23817
ABRUZZO,ABRUZZO,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,4492
ABRUZZO,ABRUZZO,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',185537
ABRUZZO,ABRUZZO,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,27677
ABRUZZO,ABRUZZO,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,8212
ABRUZZO,ABRUZZO,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,4348
ABRUZZO,ABRUZZO,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,2701
ABRUZZO,ABRUZZO,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,1407
ABRUZZO,ABRUZZO,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,232627
ABRUZZO,ABRUZZO,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,49777
ABRUZZO,ABRUZZO,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,13654
ABRUZZO,ABRUZZO,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',5701
ABRUZZO,ABRUZZO,NO COALIZIONE,RIVOLUZIONE CIVILE,25770
ABRUZZO,ABRUZZO,NO COALIZIONE,FARE PER FERMARE IL DECLINO,4455
ABRUZZO,ABRUZZO,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,4023
ABRUZZO,ABRUZZO,NO COALIZIONE,FORZA NUOVA,2959
ABRUZZO,ABRUZZO,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',2779
ABRUZZO,ABRUZZO,NO COALIZIONE,CASAPOUND ITALIA,2580
MOLISE,MOLISE,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,42499
MOLISE,MOLISE,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',10428
MOLISE,MOLISE,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,1264
MOLISE,MOLISE,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',39588
MOLISE,MOLISE,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,11168
MOLISE,MOLISE,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,1882
MOLISE,MOLISE,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,488
MOLISE,MOLISE,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,343
MOLISE,MOLISE,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,52059
MOLISE,MOLISE,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,15968
MOLISE,MOLISE,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,3278
MOLISE,MOLISE,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',864
MOLISE,MOLISE,NO COALIZIONE,RIVOLUZIONE CIVILE,6436
MOLISE,MOLISE,NO COALIZIONE,FARE PER FERMARE IL DECLINO,1762
CAMPANIA 1,CAMPANIA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,329616
CAMPANIA 1,CAMPANIA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',52057
CAMPANIA 1,CAMPANIA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,10025
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',449811
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,32226
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,22345
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,8908
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,PARTITO PENSIONATI,7914
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,7297
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,3526
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,LIBERI PER UNA ITALIA EQUA,3239
CAMPANIA 1,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,3188
CAMPANIA 1,CAMPANIA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,349682
CAMPANIA 1,CAMPANIA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,98260
CAMPANIA 1,CAMPANIA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,38120
CAMPANIA 1,CAMPANIA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',14867
CAMPANIA 1,CAMPANIA,NO COALIZIONE,RIVOLUZIONE CIVILE,44764
CAMPANIA 1,CAMPANIA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,3859
CAMPANIA 1,CAMPANIA,NO COALIZIONE,FORZA NUOVA,1776
CAMPANIA 1,CAMPANIA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',6916
CAMPANIA 1,CAMPANIA,NO COALIZIONE,CASAPOUND ITALIA,2822
CAMPANIA 1,CAMPANIA,NO COALIZIONE,FIAMMA TRICOLORE,3874
CAMPANIA 1,CAMPANIA,NO COALIZIONE,IO AMO L'ITALIA,2275
CAMPANIA 1,CAMPANIA,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,4891
CAMPANIA 1,CAMPANIA,NO COALIZIONE,VOTO DI PROTESTA,6049
CAMPANIA 1,CAMPANIA,NO COALIZIONE,RIFONDAZIONE MISSINA ITALIANA,1325
CAMPANIA 2,CAMPANIA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,323557
CAMPANIA 2,CAMPANIA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',47256
CAMPANIA 2,CAMPANIA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,13611
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',415312
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,57140
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,18807
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,8967
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,8446
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,PARTITO PENSIONATI,6700
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,5636
CAMPANIA 2,CAMPANIA,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,3736
CAMPANIA 2,CAMPANIA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,311766
CAMPANIA 2,CAMPANIA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,101960
CAMPANIA 2,CAMPANIA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,69758
CAMPANIA 2,CAMPANIA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',14686
CAMPANIA 2,CAMPANIA,NO COALIZIONE,RIVOLUZIONE CIVILE,32350
CAMPANIA 2,CAMPANIA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,5919
CAMPANIA 2,CAMPANIA,NO COALIZIONE,FORZA NUOVA,3994
CAMPANIA 2,CAMPANIA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',5473
CAMPANIA 2,CAMPANIA,NO COALIZIONE,CASAPOUND ITALIA,2419
CAMPANIA 2,CAMPANIA,NO COALIZIONE,IO AMO L'ITALIA,3614
CAMPANIA 2,CAMPANIA,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,5939
CAMPANIA 2,CAMPANIA,NO COALIZIONE,VOTO DI PROTESTA,6694
CAMPANIA 2,CAMPANIA,NO COALIZIONE,RIFONDAZIONE MISSINA ITALIANA,1766
PUGLIA,PUGLIA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,407279
PUGLIA,PUGLIA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',144465
PUGLIA,PUGLIA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,32054
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',637815
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,34264
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,18938
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,13791
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,9680
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,PARTITO PENSIONATI,8867
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,2221
PUGLIA,PUGLIA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,1578
PUGLIA,PUGLIA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,562398
PUGLIA,PUGLIA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,172307
PUGLIA,PUGLIA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,45567
PUGLIA,PUGLIA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',13808
PUGLIA,PUGLIA,NO COALIZIONE,RIVOLUZIONE CIVILE,53790
PUGLIA,PUGLIA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,8448
PUGLIA,PUGLIA,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,5742
PUGLIA,PUGLIA,NO COALIZIONE,FORZA NUOVA,5128
PUGLIA,PUGLIA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',9366
PUGLIA,PUGLIA,NO COALIZIONE,CASAPOUND ITALIA,3948
PUGLIA,PUGLIA,NO COALIZIONE,FIAMMA TRICOLORE,5140
PUGLIA,PUGLIA,NO COALIZIONE,IO AMO L'ITALIA,2745
PUGLIA,PUGLIA,NO COALIZIONE,RIFORMISTI ITALIANI,1399
PUGLIA,PUGLIA,NO COALIZIONE,PARTITO DI ALTERNATIVA COMUNISTA,5196
BASILICATA,BASILICATA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,79631
BASILICATA,BASILICATA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',18357
BASILICATA,BASILICATA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,8009
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',59171
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,7397
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,3329
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,3137
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,1515
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,1473
BASILICATA,BASILICATA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,382
BASILICATA,BASILICATA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,75260
BASILICATA,BASILICATA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,24569
BASILICATA,BASILICATA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,7960
BASILICATA,BASILICATA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',2399
BASILICATA,BASILICATA,NO COALIZIONE,RIVOLUZIONE CIVILE,7394
BASILICATA,BASILICATA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,1845
BASILICATA,BASILICATA,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,1720
BASILICATA,BASILICATA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',1308
BASILICATA,BASILICATA,NO COALIZIONE,FIAMMA TRICOLORE,1201
BASILICATA,BASILICATA,NO COALIZIONE,IO AMO L'ITALIA,1087
BASILICATA,BASILICATA,NO COALIZIONE,POPOLARI UNITI,2992
CALABRIA,CALABRIA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,209379
CALABRIA,CALABRIA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',39129
CALABRIA,CALABRIA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,16489
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',222671
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,28135
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,12724
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,8303
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,5459
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,INTESA POPOLARE,3241
CALABRIA,CALABRIA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,2344
CALABRIA,CALABRIA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,232811
CALABRIA,CALABRIA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,51726
CALABRIA,CALABRIA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,38335
CALABRIA,CALABRIA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',8159
CALABRIA,CALABRIA,NO COALIZIONE,RIVOLUZIONE CIVILE,27272
CALABRIA,CALABRIA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,3160
CALABRIA,CALABRIA,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,4758
CALABRIA,CALABRIA,NO COALIZIONE,FORZA NUOVA,2424
CALABRIA,CALABRIA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',4598
CALABRIA,CALABRIA,NO COALIZIONE,CASAPOUND ITALIA,1874
CALABRIA,CALABRIA,NO COALIZIONE,FIAMMA TRICOLORE,4322
CALABRIA,CALABRIA,NO COALIZIONE,IO AMO L'ITALIA,2699
CALABRIA,CALABRIA,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,1957
CALABRIA,CALABRIA,NO COALIZIONE,RIFORMISTI ITALIANI,4611
SICILIA 1,SILICIA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,218665
SICILIA 1,SILICIA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',24149
SICILIA 1,SILICIA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,6550
SICILIA 1,SILICIA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',306846
SICILIA 1,SILICIA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,21473
SICILIA 1,SILICIA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,15303
SICILIA 1,SILICIA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,8009
SICILIA 1,SILICIA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,6548
SICILIA 1,SILICIA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,2001
SICILIA 1,SILICIA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,404944
SICILIA 1,SILICIA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,60671
SICILIA 1,SILICIA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,31608
SICILIA 1,SILICIA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',6727
SICILIA 1,SILICIA,NO COALIZIONE,RIVOLUZIONE CIVILE,43145
SICILIA 1,SILICIA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,3697
SICILIA 1,SILICIA,NO COALIZIONE,FORZA NUOVA,2013
SICILIA 1,SILICIA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',6107
SICILIA 1,SILICIA,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,3712
SICILIA 2,SILICIA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,249059
SICILIA 2,SILICIA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',27171
SICILIA 2,SILICIA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,12526
SICILIA 2,SILICIA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',359474
SICILIA 2,SILICIA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,24857
SICILIA 2,SILICIA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,23800
SICILIA 2,SILICIA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,10969
SICILIA 2,SILICIA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,4586
SICILIA 2,SILICIA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,2742
SICILIA 2,SILICIA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,438613
SICILIA 2,SILICIA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,68724
SICILIA 2,SILICIA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,39256
SICILIA 2,SILICIA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',8106
SICILIA 2,SILICIA,NO COALIZIONE,RIVOLUZIONE CIVILE,42231
SICILIA 2,SILICIA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,4940
SICILIA 2,SILICIA,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,3489
SICILIA 2,SILICIA,NO COALIZIONE,FORZA NUOVA,3222
SICILIA 2,SILICIA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',5930
SICILIA 2,SILICIA,NO COALIZIONE,FIAMMA TRICOLORE,2875
SICILIA 2,SILICIA,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,3839
SICILIA 2,SILICIA,NO COALIZIONE,PRI,1330
SICILIA 2,SILICIA,NO COALIZIONE,MOVIMENTO PROGETTO ITALIA - MID,1878
SARDEGNA,SARDEGNA,ITALIA. BENE COMUNE,PARTITO DEMOCRATICO,233278
SARDEGNA,SARDEGNA,ITALIA. BENE COMUNE,SINISTRA ECOLOGIA LIBERTA',34098
SARDEGNA,SARDEGNA,ITALIA. BENE COMUNE,CENTRO DEMOCRATICO,5530
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,IL POPOLO DELLA LIBERTA',188901
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,FRATELLI D'ITALIA,16235
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,PARTITO PENSIONATI,4121
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,GRANDE SUD - MPA,3753
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,LA DESTRA,3460
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,MIR - MODERATI IN RIVOLUZIONE,1508
SARDEGNA,SARDEGNA,COALIZIONE DI CENTRO-DESTRA,LEGA NORD,1330
SARDEGNA,SARDEGNA,NO COALIZIONE,MOVIMENTO 5 STELLE BEPPEGRILLO.IT,275241
SARDEGNA,SARDEGNA,CON MONTI PER L'ITALIA,SCELTA CIVICA CON MONTI PER L'ITALIA,55891
SARDEGNA,SARDEGNA,CON MONTI PER L'ITALIA,UNIONE DI CENTRO,25696
SARDEGNA,SARDEGNA,CON MONTI PER L'ITALIA,FUTURO E LIBERTA',5494
SARDEGNA,SARDEGNA,NO COALIZIONE,RIVOLUZIONE CIVILE,25895
SARDEGNA,SARDEGNA,NO COALIZIONE,FARE PER FERMARE IL DECLINO,3759
SARDEGNA,SARDEGNA,NO COALIZIONE,PARTITO COMUNISTA DEI LAVORATORI,3170
SARDEGNA,SARDEGNA,NO COALIZIONE,FORZA NUOVA,1658
SARDEGNA,SARDEGNA,NO COALIZIONE,LISTA AMNISTIA GIUSTIZIA LIBERTA',2105
SARDEGNA,SARDEGNA,NO COALIZIONE,LIBERALI PER L'ITALIA - PLI,2711
SARDEGNA,SARDEGNA,NO COALIZIONE,PS D'AZ.,18592
SARDEGNA,SARDEGNA,NO COALIZIONE,INDIPENDENZA PER LA SARDEGNA,7471
SARDEGNA,SARDEGNA,NO COALIZIONE,MERIS,5897