REGIONE,LISTA,VOTI_LISTA
LIGURIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,22649
LIGURIA,AUTONOMIE PER L'EUROPA,827
LIGURIA,CASAPOUND ITALIA - DESTRE UNITE,2395
LIGURIA,EUROPA VERDE,18332
LIGURIA,FORZA ITALIA,57887
LIGURIA,FORZA NUOVA,867
LIGURIA,FRATELLI D'ITALIA,42118
LIGURIA,LA SINISTRA,16148
LIGURIA,LEGA SALVINI PREMIER,251696
LIGURIA,MOVIMENTO 5 STELLE,122536
LIGURIA,PARTITO ANIMALISTA,5649
LIGURIA,PARTITO COMUNISTA,8826
LIGURIA,PARTITO DEMOCRATICO,185260
LIGURIA,PARTITO PIRATA,2090
LIGURIA,POPOLARI PER L'ITALIA,3104
LIGURIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,2531
LOMBARDIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,150192
LOMBARDIA,AUTONOMIE PER L'EUROPA,6756
LOMBARDIA,CASAPOUND ITALIA - DESTRE UNITE,14982
LOMBARDIA,EUROPA VERDE,119667
LOMBARDIA,FORZA ITALIA,430141
LOMBARDIA,FORZA NUOVA,9108
LOMBARDIA,FRATELLI D'ITALIA,268414
LOMBARDIA,LA SINISTRA,65182
LOMBARDIA,LEGA SALVINI PREMIER,2107080
LOMBARDIA,MOVIMENTO 5 STELLE,453863
LOMBARDIA,PARTITO ANIMALISTA,27400
LOMBARDIA,PARTITO COMUNISTA,34312
LOMBARDIA,PARTITO DEMOCRATICO,1120933
LOMBARDIA,PARTITO PIRATA,11899
LOMBARDIA,POPOLARI PER L'ITALIA,16799
LOMBARDIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,20413
PIEMONTE,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,72139
PIEMONTE,AUTONOMIE PER L'EUROPA,3142
PIEMONTE,CASAPOUND ITALIA - DESTRE UNITE,7881
PIEMONTE,EUROPA VERDE,50457
PIEMONTE,FORZA ITALIA,198721
PIEMONTE,FORZA NUOVA,3289
PIEMONTE,FRATELLI D'ITALIA,130986
PIEMONTE,LA SINISTRA,32784
PIEMONTE,LEGA SALVINI PREMIER,813005
PIEMONTE,MOVIMENTO 5 STELLE,290141
PIEMONTE,PARTITO ANIMALISTA,17722
PIEMONTE,PARTITO COMUNISTA,20621
PIEMONTE,PARTITO DEMOCRATICO,524078
PIEMONTE,PARTITO PIRATA,5668
PIEMONTE,POPOLARI PER L'ITALIA,5780
PIEMONTE,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,12423
VALLE D'AOSTA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,1844
VALLE D'AOSTA,AUTONOMIE PER L'EUROPA,6904
VALLE D'AOSTA,CASAPOUND ITALIA - DESTRE UNITE,336
VALLE D'AOSTA,EUROPA VERDE,2322
VALLE D'AOSTA,FORZA ITALIA,2684
VALLE D'AOSTA,FORZA NUOVA,50
VALLE D'AOSTA,FRATELLI D'ITALIA,1618
VALLE D'AOSTA,LA SINISTRA,1331
VALLE D'AOSTA,LEGA SALVINI PREMIER,18525
VALLE D'AOSTA,MOVIMENTO 5 STELLE,4830
VALLE D'AOSTA,PARTITO ANIMALISTA,391
VALLE D'AOSTA,PARTITO COMUNISTA,379
VALLE D'AOSTA,PARTITO DEMOCRATICO,8084
VALLE D'AOSTA,PARTITO PIRATA,219
VALLE D'AOSTA,POPOLARI PER L'ITALIA,173
VALLE D'AOSTA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,154
EMILIA-ROMAGNA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,80153
EMILIA-ROMAGNA,CASAPOUND ITALIA - DESTRE UNITE,5561
EMILIA-ROMAGNA,EUROPA VERDE,66002
EMILIA-ROMAGNA,FORZA ITALIA,131992
EMILIA-ROMAGNA,FORZA NUOVA,3451
EMILIA-ROMAGNA,FRATELLI D'ITALIA,104861
EMILIA-ROMAGNA,LA SINISTRA,42010
EMILIA-ROMAGNA,LEGA SALVINI PREMIER,759948
EMILIA-ROMAGNA,MOVIMENTO 5 STELLE,290019
EMILIA-ROMAGNA,PARTITO ANIMALISTA,15223
EMILIA-ROMAGNA,PARTITO COMUNISTA,25291
EMILIA-ROMAGNA,PARTITO DEMOCRATICO,703131
EMILIA-ROMAGNA,PARTITO PIRATA,5338
EMILIA-ROMAGNA,POPOLARI PER L'ITALIA,4497
EMILIA-ROMAGNA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,9694
EMILIA-ROMAGNA,PPA MOVIMENTO POLITICO PENSIERO AZIONE,1899
EMILIA-ROMAGNA,SVP,1319
FRIULI-VENEZIA GIULIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,17333
FRIULI-VENEZIA GIULIA,CASAPOUND ITALIA - DESTRE UNITE,2709
FRIULI-VENEZIA GIULIA,EUROPA VERDE,17177
FRIULI-VENEZIA GIULIA,FORZA ITALIA,38593
FRIULI-VENEZIA GIULIA,FORZA NUOVA,926
FRIULI-VENEZIA GIULIA,FRATELLI D'ITALIA,43898
FRIULI-VENEZIA GIULIA,LA SINISTRA,9428
FRIULI-VENEZIA GIULIA,LEGA SALVINI PREMIER,245636
FRIULI-VENEZIA GIULIA,MOVIMENTO 5 STELLE,55529
FRIULI-VENEZIA GIULIA,PARTITO ANIMALISTA,3682
FRIULI-VENEZIA GIULIA,PARTITO COMUNISTA,5199
FRIULI-VENEZIA GIULIA,PARTITO DEMOCRATICO,128302
FRIULI-VENEZIA GIULIA,PARTITO PIRATA,1780
FRIULI-VENEZIA GIULIA,POPOLARI PER L'ITALIA,920
FRIULI-VENEZIA GIULIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,2616
FRIULI-VENEZIA GIULIA,PPA MOVIMENTO POLITICO PENSIERO AZIONE,557
FRIULI-VENEZIA GIULIA,SVP,2907
TRENTINO-ALTO ADIGE,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,35044
TRENTINO-ALTO ADIGE,CASAPOUND ITALIA - DESTRE UNITE,2003
TRENTINO-ALTO ADIGE,EUROPA VERDE,31561
TRENTINO-ALTO ADIGE,FORZA ITALIA,17587
TRENTINO-ALTO ADIGE,FORZA NUOVA,340
TRENTINO-ALTO ADIGE,FRATELLI D'ITALIA,16695
TRENTINO-ALTO ADIGE,LA SINISTRA,5969
TRENTINO-ALTO ADIGE,LEGA SALVINI PREMIER,137739
TRENTINO-ALTO ADIGE,MOVIMENTO 5 STELLE,31167
TRENTINO-ALTO ADIGE,PARTITO ANIMALISTA,2453
TRENTINO-ALTO ADIGE,PARTITO COMUNISTA,1744
TRENTINO-ALTO ADIGE,PARTITO DEMOCRATICO,79329
TRENTINO-ALTO ADIGE,PARTITO PIRATA,989
TRENTINO-ALTO ADIGE,POPOLARI PER L'ITALIA,1691
TRENTINO-ALTO ADIGE,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,1343
TRENTINO-ALTO ADIGE,PPA MOVIMENTO POLITICO PENSIERO AZIONE,361
TRENTINO-ALTO ADIGE,SVP,129795
VENETO,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,67342
VENETO,CASAPOUND ITALIA - DESTRE UNITE,7737
VENETO,EUROPA VERDE,67846
VENETO,FORZA ITALIA,149636
VENETO,FORZA NUOVA,5352
VENETO,FRATELLI D'ITALIA,167394
VENETO,LA SINISTRA,25981
VENETO,LEGA SALVINI PREMIER,1234610
VENETO,MOVIMENTO 5 STELLE,220429
VENETO,PARTITO ANIMALISTA,13291
VENETO,PARTITO COMUNISTA,12919
VENETO,PARTITO DEMOCRATICO,468789
VENETO,PARTITO PIRATA,6530
VENETO,POPOLARI PER L'ITALIA,4615
VENETO,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,13145
VENETO,PPA MOVIMENTO POLITICO PENSIERO AZIONE,2200
VENETO,SVP,7332
LAZIO,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,74275
LAZIO,CASAPOUND ITALIA - DESTRE UNITE,12511
LAZIO,EUROPA VERDE,46434
LAZIO,FORZA ITALIA,164749
LAZIO,FORZA NUOVA,2965
LAZIO,FRATELLI D'ITALIA,218875
LAZIO,LA SINISTRA,51632
LAZIO,LEGA SALVINI PREMIER,793889
LAZIO,MOVIMENTO 5 STELLE,436102
LAZIO,PARTITO ANIMALISTA,11509
LAZIO,PARTITO COMUNISTA,22446
LAZIO,PARTITO DEMOCRATICO,578253
LAZIO,PARTITO PIRATA,4546
LAZIO,POPOLARI PER L'ITALIA,5533
LAZIO,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,7367
MARCHE,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,21430
MARCHE,CASAPOUND ITALIA - DESTRE UNITE,3658
MARCHE,EUROPA VERDE,17210
MARCHE,FORZA ITALIA,42381
MARCHE,FORZA NUOVA,1016
MARCHE,FRATELLI D'ITALIA,44644
MARCHE,LA SINISTRA,12517
MARCHE,LEGA SALVINI PREMIER,291061
MARCHE,MOVIMENTO 5 STELLE,141239
MARCHE,PARTITO ANIMALISTA,4335
MARCHE,PARTITO COMUNISTA,8266
MARCHE,PARTITO DEMOCRATICO,170596
MARCHE,PARTITO PIRATA,1882
MARCHE,POPOLARI PER L'ITALIA,2116
MARCHE,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,3952
TOSCANA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,57069
TOSCANA,CASAPOUND ITALIA - DESTRE UNITE,6942
TOSCANA,EUROPA VERDE,46835
TOSCANA,FORZA ITALIA,108793
TOSCANA,FORZA NUOVA,2182
TOSCANA,FRATELLI D'ITALIA,92233
TOSCANA,LA SINISTRA,48715
TOSCANA,LEGA SALVINI PREMIER,588727
TOSCANA,MOVIMENTO 5 STELLE,237109
TOSCANA,PARTITO ANIMALISTA,12923
TOSCANA,PARTITO COMUNISTA,31425
TOSCANA,PARTITO DEMOCRATICO,622934
TOSCANA,PARTITO PIRATA,5526
TOSCANA,POPOLARI PER L'ITALIA,3162
TOSCANA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,5816
UMBRIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,12062
UMBRIA,CASAPOUND ITALIA - DESTRE UNITE,2215
UMBRIA,EUROPA VERDE,7846
UMBRIA,FORZA ITALIA,28828
UMBRIA,FORZA NUOVA,553
UMBRIA,FRATELLI D'ITALIA,29551
UMBRIA,LA SINISTRA,9427
UMBRIA,LEGA SALVINI PREMIER,171458
UMBRIA,MOVIMENTO 5 STELLE,65718
UMBRIA,PARTITO ANIMALISTA,2419
UMBRIA,PARTITO COMUNISTA,7001
UMBRIA,PARTITO DEMOCRATICO,107687
UMBRIA,PARTITO PIRATA,975
UMBRIA,POPOLARI PER L'ITALIA,959
UMBRIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,2375
ABRUZZO,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,13907
ABRUZZO,CASAPOUND ITALIA - DESTRE UNITE,2657
ABRUZZO,EUROPA VERDE,9124
ABRUZZO,FORZA ITALIA,54631
ABRUZZO,FORZA NUOVA,1061
ABRUZZO,FRATELLI D'ITALIA,40724
ABRUZZO,LA SINISTRA,10396
ABRUZZO,LEGA SALVINI PREMIER,205370
ABRUZZO,MOVIMENTO 5 STELLE,130513
ABRUZZO,PARTITO ANIMALISTA,3129
ABRUZZO,PARTITO COMUNISTA,6512
ABRUZZO,PARTITO DEMOCRATICO,98665
ABRUZZO,PARTITO PIRATA,966
ABRUZZO,POPOLARI PER L'ITALIA,1249
ABRUZZO,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,2739
BASILICATA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,7755
BASILICATA,CASAPOUND ITALIA - DESTRE UNITE,783
BASILICATA,EUROPA VERDE,5645
BASILICATA,FORZA ITALIA,22360
BASILICATA,FORZA NUOVA,313
BASILICATA,FRATELLI D'ITALIA,19964
BASILICATA,LA SINISTRA,6350
BASILICATA,LEGA SALVINI PREMIER,55453
BASILICATA,MOVIMENTO 5 STELLE,70559
BASILICATA,PARTITO ANIMALISTA,1501
BASILICATA,PARTITO COMUNISTA,2645
BASILICATA,PARTITO DEMOCRATICO,41307
BASILICATA,PARTITO PIRATA,393
BASILICATA,POPOLARI PER L'ITALIA,1982
BASILICATA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,830
CALABRIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,13557
CALABRIA,CASAPOUND ITALIA - DESTRE UNITE,1990
CALABRIA,EUROPA VERDE,11088
CALABRIA,FORZA ITALIA,97135
CALABRIA,FORZA NUOVA,1528
CALABRIA,FRATELLI D'ITALIA,74835
CALABRIA,LA SINISTRA,15736
CALABRIA,LEGA SALVINI PREMIER,164915
CALABRIA,MOVIMENTO 5 STELLE,194695
CALABRIA,PARTITO ANIMALISTA,3881
CALABRIA,PARTITO COMUNISTA,7855
CALABRIA,PARTITO DEMOCRATICO,133136
CALABRIA,PARTITO PIRATA,1145
CALABRIA,POPOLARI PER L'ITALIA,4264
CALABRIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,3577
CAMPANIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,55055
CAMPANIA,CASAPOUND ITALIA - DESTRE UNITE,4329
CAMPANIA,EUROPA VERDE,32869
CAMPANIA,FORZA ITALIA,298254
CAMPANIA,FORZA NUOVA,2823
CAMPANIA,FRATELLI D'ITALIA,127211
CAMPANIA,LA SINISTRA,40300
CAMPANIA,LEGA SALVINI PREMIER,419623
CAMPANIA,MOVIMENTO 5 STELLE,739541
CAMPANIA,PARTITO ANIMALISTA,13996
CAMPANIA,PARTITO COMUNISTA,14480
CAMPANIA,PARTITO DEMOCRATICO,417396
CAMPANIA,PARTITO PIRATA,4045
CAMPANIA,POPOLARI PER L'ITALIA,7143
CAMPANIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,7539
MOLISE,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,2130
MOLISE,CASAPOUND ITALIA - DESTRE UNITE,544
MOLISE,EUROPA VERDE,1724
MOLISE,FORZA ITALIA,23060
MOLISE,FORZA NUOVA,366
MOLISE,FRATELLI D'ITALIA,9534
MOLISE,LA SINISTRA,3189
MOLISE,LEGA SALVINI PREMIER,36544
MOLISE,MOVIMENTO 5 STELLE,43330
MOLISE,PARTITO ANIMALISTA,861
MOLISE,PARTITO COMUNISTA,1688
MOLISE,PARTITO DEMOCRATICO,22058
MOLISE,PARTITO PIRATA,204
MOLISE,POPOLARI PER L'ITALIA,4504
MOLISE,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,910
PUGLIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,79470
PUGLIA,CASAPOUND ITALIA - DESTRE UNITE,4352
PUGLIA,EUROPA VERDE,31667
PUGLIA,FORZA ITALIA,177304
PUGLIA,FORZA NUOVA,2209
PUGLIA,FRATELLI D'ITALIA,141865
PUGLIA,LA SINISTRA,34800
PUGLIA,LEGA SALVINI PREMIER,403424
PUGLIA,MOVIMENTO 5 STELLE,419344
PUGLIA,PARTITO ANIMALISTA,9342
PUGLIA,PARTITO COMUNISTA,11190
PUGLIA,PARTITO DEMOCRATICO,265412
PUGLIA,PARTITO PIRATA,2583
PUGLIA,POPOLARI PER L'ITALIA,6807
PUGLIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,5604
SARDEGNA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,10269
SARDEGNA,CASAPOUND ITALIA - DESTRE UNITE,1590
SARDEGNA,EUROPA VERDE,7863
SARDEGNA,FORZA ITALIA,38389
SARDEGNA,FORZA NUOVA,366
SARDEGNA,FRATELLI D'ITALIA,30681
SARDEGNA,LA SINISTRA,10710
SARDEGNA,LEGA SALVINI PREMIER,135496
SARDEGNA,MOVIMENTO 5 STELLE,126301
SARDEGNA,PARTITO ANIMALISTA,2019
SARDEGNA,PARTITO COMUNISTA,4299
SARDEGNA,PARTITO DEMOCRATICO,119260
SARDEGNA,PARTITO PIRATA,1160
SARDEGNA,POPOLARI PER L'ITALIA,817
SARDEGNA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,2234
SICILIA,+EUROPA - ITALIA IN COMUNE - PDE ITALIA,29089
SICILIA,CASAPOUND ITALIA - DESTRE UNITE,3549
SICILIA,EUROPA VERDE,18009
SICILIA,FORZA ITALIA,261340
SICILIA,FORZA NUOVA,2017
SICILIA,FRATELLI D'ITALIA,117131
SICILIA,LA SINISTRA,22487
SICILIA,LEGA SALVINI PREMIER,319439
SICILIA,MOVIMENTO 5 STELLE,479562
SICILIA,PARTITO ANIMALISTA,7618
SICILIA,PARTITO COMUNISTA,7134
SICILIA,PARTITO DEMOCRATICO,255741
SICILIA,PARTITO PIRATA,2370
SICILIA,POPOLARI PER L'ITALIA,3836
SICILIA,POPOLO DELLA FAMIGLIA - ALTERNATIVA POPOLARE,8613
