LOMBARDIA, 10020528, 23864
LAZIO, 5720272, 17232
CAMPANIA, 5590076, 13671
VENETO, 4851972, 18345
SICILIA, 4794514, 25832
EMILIA-ROMAGNA, 4455188, 22453
PIEMONTE, 4252581, 25387
PUGLIA, 3890250, 19541
TOSCANA, 3664798, 22987
CALABRIA, 1838150, 15222
SARDEGNA, 1569832, 24100
LIGURIA,1508847, 5416
MARCHE, 1484427, 9401
ABRUZZO, 1269963, 10832
FRIULI-VENEZIA GIULIA, 1195792, 7924
TRENTINO-ALTO ADIGE, 1082116, 13606
UMBRIA, 854378, 8464
BASILICATA, 533636, 10073
MOLISE, 289413, 4461
VALLE D'AOSTA, 123018, 3261