REGIONE,CANDIDATO,VOTI_LISTA,LISTA
VALLE D'AOSTA,MARGUERETTAZ RUDI FRANCO,18376,VALLEE D'AOSTE
VALLE D'AOSTA,VIERIN LAURENT,18191,UNION VALDOTAINE PROGRESSISTE
VALLE D'AOSTA,GUICHARDAZ JEAN PIERRE,14340,AUTONOMIE LIBERTE' DEMOCRATIE
VALLE D'AOSTA,COGNETTA ROBERTO UGO MASSIMO,13403,MOVIMENTO 5 STELLE BEPPEGRILLO.IT
VALLE D'AOSTA,MELONI GIORGIA,3051,FRATELLI D'ITALIA
VALLE D'AOSTA,SPELGATTI NICOLETTA,2384,LEGA NORD
VALLE D'AOSTA,BRINGHEN LUCA,1355,UNIONE DI CENTRO
VALLE D'AOSTA,BUILLET FABRIZIO,748,FARE PER FERMARE IL DECLINO
VALLE D'AOSTA,LADU ANDREA,443,CASAPOUND ITALIA
VALLE D'AOSTA,CAMPION EROS,145,NATION VAL D'OUTA